,optA,value,slr,L,s1,lon,lat
France3207,fullProtect,0.89167,0.36767,12.275,5.277,2.305,51.047
France3208,fullRetreat,2263.71082825,0.38849,3.561,5.078,1.578,50.748
France3209,fullRetreat,263.730041256,0.38849,8.291,4.971,1.595,50.798
France3210,fullRetreat,110.456607442,0.35797,26.184,4.832,1.685,50.913
France3211,fullRetreat,1138.11268353,0.35797,4.742,5.047,1.812,50.967
France3212,fullProtect,0.54797,0.35797,9.48,5.167,1.875,50.981
France3213,fullProtect,0.56647,0.35797,4.719,5.26,1.937,50.994
France3214,fullRetreat,76.5997408738,0.35797,14.048,5.242,2.021,51.007
France3215,fullRetreat,628.458636202,0.35797,1.713,5.339,2.091,51.017
France3216,fullRetreat,2166.18532829,0.38849,7.492,5.311,1.564,50.7
France3217,fullRetreat,134.454345047,0.38849,27.97,5.534,1.576,50.541
France3218,fullRetreat,202.121892713,0.38849,6.637,5.767,1.572,50.393
Germany3073,fullProtect,0.6187,0.4612,454.464,2.933,8.86,54.409
Germany3033,fullRetreat,6591.26106653,0.327805,8.833,3.007,9.461,54.811
Germany3034,fullRetreat,7888.68807007,0.34819,235.095,3.082,9.974,54.468
Germany3074,fullProtect,0.62362,0.46062,2.13,3.939,9.507,53.673
Germany3075,fullRetreat,2083.69105679,0.46062,4.331,4.019,9.528,53.653
Germany3076,fullProtect,1.09162,0.46062,2.43,3.942,9.55,53.632
Germany3077,fullProtect,0.59212,0.46062,3.272,3.922,9.57,53.617
Germany3078,fullRetreat,1620.21776022,0.46062,8.238,4.053,9.618,53.597
Germany3079,fullRetreat,128.412835066,0.34819,1.719,4.262,9.659,53.581
Germany3080,fullRetreat,568.88969061,0.34819,8.442,4.018,9.703,53.568
Germany3081,fullRetreat,423.61785535,0.34819,0.994,3.894,9.746,53.565
Germany8934,fullRetreat,3268.46227113,0.4612,49.959,2.794,8.437,54.746
Germany3026,fullRetreat,8384.32627367,0.360325,88.975,0.437,11.019,54.158
Germany3027,fullRetreat,1101.9586502,0.360325,4.77,1.31,10.855,53.994
Germany3028,fullProtect,0.792325,0.360325,3.806,1.038,10.883,53.975
Germany3029,fullRetreat,1874.06812196,0.360325,3.379,1.05,10.884,53.945
Germany3030,fullProtect,0.796325,0.360325,2.246,1.15,10.869,53.925
Germany3032,fullRetreat,388.181702411,0.301615,8.299,0.759,11.016,54.379
Germany9006,fullRetreat,2419.80778964,0.301615,79.725,0.565,11.175,54.521
Germany3082,fullProtect,0.83719,0.34819,16.691,3.961,9.822,53.545
Germany3083,fullProtect,0.69112,0.46062,84.319,4.053,9.304,53.841
Germany3084,fullRetreat,90.0837588241,0.46062,1.145,4.091,9.588,53.585
Germany3085,fullRetreat,729.010954671,0.46062,8.668,4.272,9.63,53.571
Germany3086,fullRetreat,950.715396124,0.34819,9.4,4.36,9.708,53.549
Germany3087,fullRetreat,1338.54019568,0.34819,1.647,4.221,9.757,53.544
Germany3088,fullProtect,0.99462,0.46062,1.037,4.169,8.509,53.621
Germany3089,fullRetreat,13713.738817,0.46062,71.568,4.058,8.629,53.885
Germany3090,fullProtect,0.64862,0.46062,13.084,4.523,8.542,53.567
Germany3091,fullProtect,0.635735,0.374235,32.314,3.696,7.314,53.317
Germany3092,fullProtect,0.642735,0.374235,27.656,3.91,7.128,53.34
Germany3093,fullRetreat,28347.4454832,0.374235,138.274,3.339,7.46,53.686
