Unnamed: 0,optA,value,slr,L,s1,lon,lat
SriLanka9969,fullRetreat,4549.01183537,0.44703000000000004,61.773,0.988,79.983,8.977
SriLanka9970,fullProtect,0.58253,0.44703000000000004,389.533,0.983,79.945,9.692
SriLanka9972,fullRetreat,169.679782829,0.44703000000000004,20.049,0.8490000000000001,79.943,8.647
SriLanka9973,fullRetreat,8921.46260014,0.44703000000000004,184.865,0.758,79.725,8.125
SriLanka9968,fullRetreat,27151.3338691,0.44703000000000004,23.872,0.924,80.104,9.308
SriLanka9971,fullRetreat,1012.9732734999999,0.44703000000000004,12.712,0.953,80.675,9.422
SriLanka9979,fullProtect,0.52653,0.44703000000000004,52.246,0.856,80.859,9.198
SriLanka9981,fullRetreat,5698.13868116,0.44703000000000004,55.284,0.848,81.072,8.861
SriLanka9983,fullRetreat,6901.60508574,0.44703000000000004,105.86200000000001,0.848,81.28699999999999,8.471
SriLanka9986,fullRetreat,19594.8851977,0.44703000000000004,82.919,0.8290000000000001,81.602,7.847
SriLanka9987,fullRetreat,15362.214250600002,0.44703000000000004,74.32,0.866,81.873,7.347
SriLanka9988,fullRetreat,1054.99311545,0.44703000000000004,61.288000000000004,0.867,81.825,6.747000000000001
SriLanka9989,fullRetreat,7965.93514599,0.44703000000000004,86.465,0.8109999999999999,81.413,6.255
SriLanka9974,fullRetreat,701.688069674,0.44703000000000004,35.473,0.76,79.81,7.449
SriLanka9975,fullRetreat,847.8001626360001,0.44703000000000004,2.6039999999999996,0.774,79.835,7.28
SriLanka9976,fullRetreat,1225.07896718,0.44703000000000004,2.042,0.778,79.835,7.2589999999999995
SriLanka9977,fullProtect,0.71403,0.44703000000000004,57.523,0.78,79.861,6.995
SriLanka9978,fullRetreat,16407.852306200002,0.44703000000000004,37.369,0.81,79.944,6.593999999999999
SriLanka9980,fullRetreat,18964.4926222,0.44703000000000004,52.15,0.758,80.061,6.211
SriLanka9982,fullRetreat,9096.08954429,0.44703000000000004,44.978,0.6759999999999999,80.392,5.962000000000001
SriLanka9984,fullRetreat,2619.10551097,0.44703000000000004,19.195,0.6629999999999999,80.67,5.9479999999999995
SriLanka9985,fullRetreat,6404.20063385,0.44703000000000004,37.374,0.7290000000000001,80.89399999999999,6.063
Maldives9732,fullRetreat,1262.83996198,0.48218,1.46,1.015,73.039,2.778
Maldives9733,fullRetreat,1048.350035,0.48218,1.125,1.016,73.036,2.759
Maldives9734,fullRetreat,1198.31860183,0.48218,1.32,1.1540000000000001,73.036,2.765
Maldives3230,fullProtect,0.80618,0.48218,0.195,0.972,73.583,2.9619999999999997
Maldives3231,fullProtect,0.80618,0.48218,0.045,0.972,73.583,2.9610000000000003
Maldives3232,fullProtect,0.80618,0.48218,0.179,0.972,73.582,2.96
